"","X","id","listing_url","host_id","host_url","host_name","host_since","host_location","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_thumbnail_url","host_picture_url","host_neighbourhood","host_listings_count","host_total_listings_count","host_verifications","host_has_profile_pic","host_identity_verified","street","neighbourhood","neighbourhood_cleansed","neighbourhood_group_cleansed","city","state","zipcode","market","smart_location","country_code","country","latitude","longitude","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","square_feet","price","weekly_price","monthly_price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews","number_of_reviews_ltm","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","jurisdiction_names","instant_bookable","is_business_travel_ready","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","calculated_host_listings_count_shared_rooms","reviews_per_month","place"
"101",102,3065963,"https://www.airbnb.com/rooms/3065963",2895120,"https://www.airbnb.com/users/show/2895120","David & Jackie","7/10/2012","Antwerp, Flanders, Belgium","N/A","N/A","N/A","f","https://a0.muscache.com/im/pictures/user/1751f6f9-ee65-4c82-b270-568fee63115a.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/1751f6f9-ee65-4c82-b270-568fee63115a.jpg?aki_policy=profile_x_medium","",2,2,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']","t","f","Antwerp, Flanders, Belgium",NA,"Historisch Centrum",NA,"Antwerpen","Flanders",NA,"Antwerp","Antwerp, Belgium","BE","Belgium",51.22493,4.40372,"f","Apartment","Entire home/apt",2,1,1,1,"Real Bed",NA,"$59.00 ","","","","",1,"$0.00 ",1,30,1,1,30,30,1,30,"t",0,0,0,0,"3/21/2020",5,0,"11/6/2016","11/20/2016",93,10,10,10,10,9,9,NA,"f","f","moderate","f","f",2,2,0,0,0.12,"Antwerp"
"102",103,3197919,"https://www.airbnb.com/rooms/3197919",16207518,"https://www.airbnb.com/users/show/16207518","Michael","5/31/2014","Antwerp, Flanders, Belgium","within a day","75%","14%","f","https://a0.muscache.com/im/pictures/user/07c57953-896f-4e7c-8e17-d373a748e028.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/07c57953-896f-4e7c-8e17-d373a748e028.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'reviews']","t","f","Antwerp, Flanders, Belgium",NA,"Harmonie",NA,"Antwerpen","Flanders","2018","Antwerp","Antwerp, Belgium","BE","Belgium",51.20688,4.40645,"t","House","Entire home/apt",7,2,3,4,"Real Bed",NA,"$230.00 ","","","$500.00 ","$0.00 ",6,"$30.00 ",3,25,3,3,25,25,3,25,"t",0,0,0,229,"3/21/2020",10,2,"12/31/2014","7/28/2019",100,10,10,10,10,10,10,NA,"f","f","moderate","f","f",1,1,0,0,0.16,"Antwerp"
"103",104,3202647,"https://www.airbnb.com/rooms/3202647",10614479,"https://www.airbnb.com/users/show/10614479","Steven","12/14/2013","Antwerp, Flanders, Belgium","within a few hours","100%","50%","f","https://a0.muscache.com/im/users/10614479/profile_pic/1434987915/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/10614479/profile_pic/1434987915/original.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'reviews', 'jumio', 'government_id', 'work_email']","t","t","Antwerp, Flanders, Belgium",NA,"Stadspark",NA,"Antwerpen","Flanders","2018","Antwerp","Antwerp, Belgium","BE","Belgium",51.21757,4.41641,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",NA,"$66.00 ","$490.00 ","$1,150.00 ","","$13.00 ",1,"$15.00 ",10,1125,10,10,1125,1125,10,1125,"t",29,59,89,364,"3/21/2020",35,0,"7/5/2015","1/5/2019",95,10,9,10,10,10,9,NA,"f","f","strict_14_with_grace_period","f","f",1,1,0,0,0.61,"Antwerp"
"104",105,3203133,"https://www.airbnb.com/rooms/3203133",13572444,"https://www.airbnb.com/users/show/13572444","Vincent","3/26/2014","Antwerp, Flanders, Belgium","within an hour","67%","67%","f","https://a0.muscache.com/im/users/13572444/profile_pic/1401623943/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/13572444/profile_pic/1401623943/original.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']","t","t","Antwerp, Flanders, Belgium",NA,"Zurenborg",NA,"Antwerpen","Flanders","2018","Antwerp","Antwerp, Belgium","BE","Belgium",51.20658,4.42614,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",NA,"$70.00 ","$450.00 ","$1,350.00 ","$150.00 ","$25.00 ",1,"$0.00 ",20,1125,20,20,1125,1125,20,1125,"t",24,35,35,252,"3/21/2020",11,1,"7/22/2014","9/20/2019",94,10,9,10,10,9,9,NA,"f","f","flexible","f","f",1,1,0,0,0.16,"Antwerp"
"105",106,3207291,"https://www.airbnb.com/rooms/3207291",16250048,"https://www.airbnb.com/users/show/16250048","Maurits - Rodolfo","6/1/2014","Antwerp, Flanders, Belgium","N/A","N/A","N/A","f","https://a0.muscache.com/im/users/16250048/profile_pic/1401654758/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/16250048/profile_pic/1401654758/original.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'jumio', 'government_id']","t","t","Antwerp, Flanders, Belgium",NA,"Stadspark",NA,"Antwerpen","Flanders","2018","Antwerp","Antwerp, Belgium","BE","Belgium",51.2068,4.41853,"t","Apartment","Entire home/apt",4,1,1,1,"Real Bed",NA,"$87.00 ","$600.00 ","$2,000.00 ","$150.00 ","",2,"$10.00 ",3,1125,3,3,1125,1125,3,1125,"t",0,0,0,0,"3/21/2020",46,0,"6/8/2014","1/2/2019",95,10,10,10,10,9,9,NA,"f","f","moderate","f","f",1,1,0,0,0.65,"Antwerp"
"106",107,3218767,"https://www.airbnb.com/rooms/3218767",16271234,"https://www.airbnb.com/users/show/16271234","Jan","6/2/2014","Antwerp, Flanders, Belgium","a few days or more","14%","100%","f","https://a0.muscache.com/im/users/16271234/profile_pic/1403740721/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/16271234/profile_pic/1403740721/original.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'facebook', 'reviews']","t","f","Antwerp, Flanders, Belgium",NA,"Borgerhout Intra Muros Noord",NA,"Antwerpen","Flanders","2140","Antwerp","Antwerp, Belgium","BE","Belgium",51.21803,4.43461,"f","Apartment","Private room",3,1,1,0,"Real Bed",NA,"$59.00 ","$245.00 ","$550.00 ","","$15.00 ",1,"$0.00 ",1,30,1,1,30,30,1,30,"t",30,60,90,365,"3/21/2020",37,0,"7/23/2014","4/26/2017",74,7,7,9,8,7,7,NA,"f","f","flexible","f","f",1,0,1,0,0.54,"Antwerp"
"107",108,3268690,"https://www.airbnb.com/rooms/3268690",13665161,"https://www.airbnb.com/users/show/13665161","Jozefien","3/29/2014","Antwerp, Flanders, Belgium","N/A","N/A","0%","f","https://a0.muscache.com/im/pictures/user/f8c56aca-e9a1-460b-be31-c5e48f68bfaf.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/f8c56aca-e9a1-460b-be31-c5e48f68bfaf.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'reviews', 'jumio', 'government_id']","t","t","Antwerp, Flanders, Belgium",NA,"Zuid",NA,"Antwerpen","Flanders","2000","Antwerp","Antwerp, Belgium","BE","Belgium",51.20495,4.38977,"t","Apartment","Entire home/apt",4,1,2,2,"Real Bed",NA,"$109.00 ","","","$100.00 ","$40.00 ",2,"$20.00 ",2,1125,2,2,1125,1125,2,1125,"t",0,0,0,0,"3/21/2020",44,0,"7/13/2014","2/24/2019",94,9,9,10,10,10,9,NA,"f","f","moderate","f","f",1,1,0,0,0.63,"Antwerp"
"108",109,3426775,"https://www.airbnb.com/rooms/3426775",14793024,"https://www.airbnb.com/users/show/14793024","Jorge","4/27/2014","Antwerp, Flanders, Belgium","within a day","78%","10%","f","https://a0.muscache.com/im/pictures/user/b5090421-50c1-4e7c-b27c-6cdd8a24b901.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/b5090421-50c1-4e7c-b27c-6cdd8a24b901.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']","t","t","Antwerpen, Vlaams Gewest, Belgium",NA,"Oud - Berchem",NA,"Antwerpen","Vlaams Gewest","2600","Antwerp","Antwerpen, Belgium","BE","Belgium",51.19816,4.41898,"f","House","Entire home/apt",8,1.5,3,3,"Real Bed",NA,"$110.00 ","$600.00 ","","$300.00 ","$40.00 ",4,"$13.00 ",2,1125,2,2,1125,1125,2,1125,"t",16,20,20,229,"3/21/2020",26,1,"3/15/2015","3/18/2020",91,9,10,10,10,9,9,NA,"f","f","moderate","f","f",1,1,0,0,0.43,"Antwerp"
"109",110,3467654,"https://www.airbnb.com/rooms/3467654",8558537,"https://www.airbnb.com/users/show/8558537","Johan","9/1/2013","Antwerp, Flanders, Belgium","within a few hours","100%","69%","f","https://a0.muscache.com/im/users/8558537/profile_pic/1404197658/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/8558537/profile_pic/1404197658/original.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","f","Antwerp, Flanders, Belgium",NA,"Harmonie",NA,"Antwerpen","Flanders","2018","Antwerp","Antwerp, Belgium","BE","Belgium",51.20605,4.40858,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",NA,"$55.00 ","$300.00 ","","$0.00 ","$0.00 ",1,"$35.00 ",3,1125,3,3,1125,1125,3,1125,"t",9,11,11,274,"3/21/2020",17,7,"7/22/2014","2/17/2020",95,10,9,10,10,10,10,NA,"f","f","moderate","f","f",1,1,0,0,0.25,"Antwerp"
"110",111,3518676,"https://www.airbnb.com/rooms/3518676",17717089,"https://www.airbnb.com/users/show/17717089","Leonie En Ahmed","7/6/2014","Middelburg, Zeeland, Netherlands","within an hour","75%","94%","f","https://a0.muscache.com/im/users/17717089/profile_pic/1417953840/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/17717089/profile_pic/1417953840/original.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","f","Antwerpen, Vlaams Gewest, Belgium",NA,"Historisch Centrum",NA,"Antwerpen","Vlaams Gewest","2000","Antwerp","Antwerpen, Belgium","BE","Belgium",51.22392,4.40238,"t","Apartment","Entire home/apt",5,1,2,3,"Real Bed",NA,"$95.00 ","","","","$40.00 ",2,"$40.00 ",2,30,2,2,30,30,2,30,"t",29,59,89,356,"3/21/2020",77,17,"10/28/2014","3/8/2020",90,10,9,10,10,10,9,NA,"t","f","strict_14_with_grace_period","f","f",1,1,0,0,1.17,"Antwerp"
"111",112,3540493,"https://www.airbnb.com/rooms/3540493",15709831,"https://www.airbnb.com/users/show/15709831","Liam","5/19/2014","Antwerp, Flanders, Belgium","within an hour","100%","100%","t","https://a0.muscache.com/im/pictures/user/61ca2f9f-c649-4ce4-957d-36c68546ee17.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/61ca2f9f-c649-4ce4-957d-36c68546ee17.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'reviews', 'manual_offline', 'jumio', 'government_id']","t","t","Antwerp, Flanders, Belgium",NA,"Amandus - Atheneum",NA,"Antwerpen","Flanders","2060","Antwerp","Antwerp, Belgium","BE","Belgium",51.21898,4.42506,"t","Apartment","Entire home/apt",3,1,0,2,"Real Bed",NA,"$51.00 ","$310.00 ","$1,280.00 ","$200.00 ","$15.00 ",2,"$15.00 ",2,1125,2,2,1125,1125,2,1125,"t",27,51,81,343,"3/21/2020",272,39,"7/22/2014","3/8/2020",90,10,10,10,10,10,9,NA,"f","f","moderate","f","f",1,1,0,0,3.94,"Antwerp"
"112",113,3609370,"https://www.airbnb.com/rooms/3609370",10038260,"https://www.airbnb.com/users/show/10038260","Christophe","11/15/2013","Antwerp, Flanders, Belgium","N/A","N/A","N/A","f","https://z0.muscache.cn/im/users/10038260/profile_pic/1384556981/original.jpg?aki_policy=profile_small","https://z0.muscache.cn/im/users/10038260/profile_pic/1384556981/original.jpg?aki_policy=profile_x_medium","",2,2,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']","t","t","Antwerpen, Vlaams Gewest, Belgium",NA,"Zuid",NA,"Antwerpen","Vlaams Gewest","2000","Antwerp","Antwerpen, Belgium","BE","Belgium",51.21253,4.39235,"t","Apartment","Private room",2,1,1,1,"Real Bed",NA,"$49.00 ","$250.00 ","","","",1,"$0.00 ",2,1125,2,2,1125,1125,2,1125,"t",0,0,0,0,"3/21/2020",51,0,"8/13/2015","7/30/2016",96,10,10,10,10,10,10,NA,"f","f","moderate","f","f",2,1,1,0,0.91,"Antwerp"
"113",114,3711139,"https://www.airbnb.com/rooms/3711139",9843443,"https://www.airbnb.com/users/show/9843443","N","11/6/2013","Antwerp, Flanders, Belgium","N/A","N/A","N/A","f","https://a0.muscache.com/im/users/9843443/profile_pic/1383726895/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/9843443/profile_pic/1383726895/original.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']","t","t","Antwerp, Flanders, Belgium",NA,"Borgerhout Intra Muros Noord",NA,"Antwerpen","Flanders","2140","Antwerp","Antwerp, Belgium","BE","Belgium",51.21756,4.44284,"f","Apartment","Entire home/apt",2,1,1,1,"Real Bed",NA,"$40.00 ","","$450.00 ","","",1,"$0.00 ",1,1125,1,1,1125,1125,1,1125,"t",0,0,0,0,"3/21/2020",0,0,"","",NA,NA,NA,NA,NA,NA,NA,NA,"f","f","flexible","f","f",1,1,0,0,NA,"Antwerp"
"114",115,3806718,"https://www.airbnb.com/rooms/3806718",5739313,"https://www.airbnb.com/users/show/5739313","Mathilde","4/2/2013","Antwerp, Flanders, Belgium","N/A","N/A","N/A","f","https://a0.muscache.com/im/users/5739313/profile_pic/1365291667/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/5739313/profile_pic/1365291667/original.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'reviews', 'jumio', 'government_id']","t","t","Antwerp, Flanders, Belgium",NA,"Stadspark",NA,"Antwerpen","Flanders","2018","Antwerp","Antwerp, Belgium","BE","Belgium",51.20618,4.41572,"t","Apartment","Entire home/apt",2,1,2,1,"Real Bed",NA,"$110.00 ","","","","",1,"$0.00 ",2,1125,2,2,1125,1125,2,1125,"t",0,0,0,0,"3/21/2020",6,0,"9/22/2014","11/14/2015",100,10,10,10,10,9,9,NA,"f","f","flexible","f","f",1,1,0,0,0.09,"Antwerp"
"115",116,3857702,"https://www.airbnb.com/rooms/3857702",19891615,"https://www.airbnb.com/users/show/19891615","Bart","8/12/2014","Antwerp, Flanders, Belgium","within an hour","100%","40%","f","https://a0.muscache.com/im/users/19891615/profile_pic/1407858050/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/19891615/profile_pic/1407858050/original.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'reviews']","t","f","Antwerp, Flanders, Belgium",NA,"Universiteitsbuurt",NA,"Antwerpen","Flanders","2000","Antwerp","Antwerp, Belgium","BE","Belgium",51.2223,4.40746,"t","Apartment","Entire home/apt",4,1,2,2,"Real Bed",NA,"$180.00 ","$1,000.00 ","$3,500.00 ","","$20.00 ",2,"$0.00 ",2,1125,2,2,1125,1125,2,1125,"t",0,0,0,216,"3/21/2020",23,5,"10/24/2014","7/29/2019",100,10,10,10,10,10,9,NA,"f","f","moderate","f","f",1,1,0,0,0.35,"Antwerp"
"116",117,3889129,"https://www.airbnb.com/rooms/3889129",4057333,"https://www.airbnb.com/users/show/4057333","Maximilien","11/4/2012","Berlin, Berlin, Germany","N/A","N/A","N/A","f","https://a0.muscache.com/im/pictures/user/e15f0bcd-632f-46f4-8c33-ba3f956b3cf7.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/e15f0bcd-632f-46f4-8c33-ba3f956b3cf7.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'offline_government_id', 'selfie', 'government_id', 'work_email']","t","f","Antwerp, Flanders, Belgium",NA,"Oud - Berchem",NA,"Antwerpen","Flanders","2600","Antwerp","Antwerp, Belgium","BE","Belgium",51.19916,4.41589,"t","Apartment","Private room",1,1,1,1,"Real Bed",NA,"$50.00 ","$200.00 ","$550.00 ","","",1,"$0.00 ",1,1125,1,1,1125,1125,1,1125,"t",0,0,0,0,"3/21/2020",0,0,"","",NA,NA,NA,NA,NA,NA,NA,NA,"f","f","strict_14_with_grace_period","f","f",1,0,1,0,NA,"Antwerp"
"117",118,3894091,"https://www.airbnb.com/rooms/3894091",12010306,"https://www.airbnb.com/users/show/12010306","Ma鑼倀鑼","2/6/2014","Antwerp, Flanders, Belgium","within a few hours","100%","0%","f","https://a0.muscache.com/im/users/12010306/profile_pic/1408304168/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/12010306/profile_pic/1408304168/original.jpg?aki_policy=profile_x_medium","",2,2,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","f","Antwerp, Flanders, Belgium",NA,"Borgerhout Intra Muros Zuid",NA,"Antwerpen","Flanders","2140","Antwerp","Antwerp, Belgium","BE","Belgium",51.21154,4.43096,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",NA,"$65.00 ","$500.00 ","","$200.00 ","$20.00 ",1,"$0.00 ",3,1125,3,3,1125,1125,3,1125,"t",0,0,0,110,"3/21/2020",3,0,"11/19/2014","10/20/2015",93,10,10,10,9,8,9,NA,"f","f","flexible","f","f",1,1,0,0,0.05,"Antwerp"
"118",119,3969576,"https://www.airbnb.com/rooms/3969576",20572492,"https://www.airbnb.com/users/show/20572492","JackieJ","8/26/2014","Antwerp, Flanders, Belgium","within an hour","100%","93%","f","https://a0.muscache.com/im/pictures/user/e343041c-9668-49dd-95e2-da22f9a243c2.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/e343041c-9668-49dd-95e2-da22f9a243c2.jpg?aki_policy=profile_x_medium","",4,4,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']","t","f","Antwerp, Flanders, Belgium",NA,"Borgerhout Intra Muros Zuid",NA,"Antwerpen","Flanders","2140","Antwerp","Antwerp, Belgium","BE","Belgium",51.21183,4.44019,"t","House","Private room",2,0.5,1,2,"Real Bed",NA,"$27.00 ","","","$0.00 ","$0.00 ",1,"$25.00 ",1,102,1,1,1125,1125,1,1125,"t",30,60,87,361,"3/21/2020",278,48,"8/24/2015","2/20/2020",92,9,9,10,10,9,9,NA,"t","f","strict_14_with_grace_period","f","f",4,1,3,0,4.99,"Antwerp"
"119",120,4017995,"https://www.airbnb.com/rooms/4017995",20834666,"https://www.airbnb.com/users/show/20834666","Greta","9/2/2014","Antwerp, Flanders, Belgium","within an hour","100%","100%","t","https://a0.muscache.com/im/pictures/user/8c107358-a603-4699-8c39-401c42bd4e30.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/8c107358-a603-4699-8c39-401c42bd4e30.jpg?aki_policy=profile_x_medium","",3,3,"['email', 'phone', 'google', 'reviews', 'work_email']","t","f","Antwerp, Flanders, Belgium",NA,"Harmonie",NA,"Antwerpen","Flanders","2018","Antwerp","Antwerp, Belgium","BE","Belgium",51.20767,4.407,"t","Bed and breakfast","Private room",2,1,1,1,"Real Bed",NA,"$75.00 ","","","","",1,"$0.00 ",1,7,1,2,7,7,1.3,7,"t",16,33,55,109,"3/21/2020",22,3,"3/30/2015","2/16/2020",99,10,10,10,10,10,9,NA,"t","f","moderate","f","f",3,1,2,0,0.36,"Antwerp"
"120",121,4026852,"https://www.airbnb.com/rooms/4026852",20878289,"https://www.airbnb.com/users/show/20878289","Bart","9/3/2014","Antwerp, Flanders, Belgium","within an hour","100%","91%","f","https://a0.muscache.com/im/pictures/user/2480f8a9-1d39-4a99-a69f-4d85aabbc5bc.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/2480f8a9-1d39-4a99-a69f-4d85aabbc5bc.jpg?aki_policy=profile_x_medium","",2,2,"['email', 'phone', 'facebook', 'offline_government_id', 'selfie', 'government_id', 'work_email']","t","f","Antwerpen, Vlaanderen, Belgium",NA,"Hoboken - Centrum",NA,"Antwerpen","Vlaanderen","2660","Antwerp","Antwerpen, Belgium","BE","Belgium",51.17582,4.3474,"t","Townhouse","Private room",2,1.5,1,1,"Airbed",NA,"$55.00 ","","","","$9.00 ",2,"$0.00 ",1,1125,1,1,1125,1125,1,1125,"t",0,0,11,143,"3/21/2020",7,7,"11/2/2019","3/7/2020",93,10,9,10,10,9,10,NA,"f","f","moderate","f","f",2,0,2,0,1.49,"Antwerp"
"121",122,4030176,"https://www.airbnb.com/rooms/4030176",9438737,"https://www.airbnb.com/users/show/9438737","Joel","10/15/2013","Antwerp, Flanders, Belgium","within a day","80%","95%","f","https://a0.muscache.com/im/pictures/user/74b6433b-b24b-41ba-adb0-b90cc4f94161.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/74b6433b-b24b-41ba-adb0-b90cc4f94161.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'reviews', 'manual_offline', 'jumio', 'offline_government_id', 'government_id']","t","t","Antwerp, Flanders, Belgium",NA,"Amandus - Atheneum",NA,"Antwerpen","Flanders","2060","Antwerp","Antwerp, Belgium","BE","Belgium",51.22677,4.41754,"t","Apartment","Entire home/apt",2,1,0,1,"Real Bed",NA,"$75.00 ","$320.00 ","$1,000.00 ","$0.00 ","$15.00 ",1,"$0.00 ",1,30,1,1,30,30,1,30,"t",29,58,65,229,"3/21/2020",142,38,"9/25/2014","2/5/2020",85,9,8,10,9,9,9,NA,"f","f","moderate","f","f",1,1,0,0,2.12,"Antwerp"
"122",123,4032738,"https://www.airbnb.com/rooms/4032738",20906634,"https://www.airbnb.com/users/show/20906634","Sirene","9/3/2014","BE","a few days or more","0%","33%","f","https://a0.muscache.com/im/users/20906634/profile_pic/1409784290/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/20906634/profile_pic/1409784290/original.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'reviews']","t","f","Antwerp, Flanders, Belgium",NA,"Borgerhout Intra Muros Zuid",NA,"Antwerpen","Flanders","2140","Antwerp","Antwerp, Belgium","BE","Belgium",51.21432,4.4362,"t","Apartment","Entire home/apt",3,1,2,2,"Real Bed",NA,"$58.00 ","","$1,500.00 ","$150.00 ","$20.00 ",2,"$15.00 ",2,1125,2,2,1125,1125,2,1125,"t",0,0,23,109,"3/21/2020",17,2,"9/15/2014","7/22/2019",92,10,10,10,10,8,9,NA,"f","f","strict_14_with_grace_period","f","f",1,1,0,0,0.25,"Antwerp"
"123",124,4064854,"https://www.airbnb.com/rooms/4064854",20834666,"https://www.airbnb.com/users/show/20834666","Greta","9/2/2014","Antwerp, Flanders, Belgium","within an hour","100%","100%","t","https://a0.muscache.com/im/pictures/user/8c107358-a603-4699-8c39-401c42bd4e30.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/8c107358-a603-4699-8c39-401c42bd4e30.jpg?aki_policy=profile_x_medium","",3,3,"['email', 'phone', 'google', 'reviews', 'work_email']","t","f","Antwerp, Flanders, Belgium",NA,"Harmonie",NA,"Antwerpen","Flanders","2018","Antwerp","Antwerp, Belgium","BE","Belgium",51.20835,4.40671,"t","Bed and breakfast","Private room",2,1,1,2,"Real Bed",NA,"$75.00 ","","","","",2,"$0.00 ",1,7,1,2,7,7,1.3,7,"t",17,33,55,107,"3/21/2020",37,10,"3/30/2015","11/29/2019",94,10,10,10,10,9,9,NA,"t","f","moderate","f","f",3,1,2,0,0.61,"Antwerp"
"124",125,4163391,"https://www.airbnb.com/rooms/4163391",7500115,"https://www.airbnb.com/users/show/7500115","Kelly","7/15/2013","Antwerpen, Flemish Region, Belgium","a few days or more","0%","33%","f","https://a0.muscache.com/im/users/7500115/profile_pic/1411331571/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/7500115/profile_pic/1411331571/original.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'reviews', 'jumio', 'government_id']","t","f","Antwerpen, Vlaanderen, Belgium",NA,"Eilandje",NA,"Antwerpen","Vlaanderen","2000","Antwerp","Antwerpen, Belgium","BE","Belgium",51.2332,4.41039,"t","Loft","Entire home/apt",2,1.5,1,1,"Real Bed",NA,"$200.00 ","","","$500.00 ","$40.00 ",2,"$50.00 ",2,365,2,2,365,365,2,365,"t",28,58,88,178,"3/21/2020",6,0,"7/24/2016","10/20/2018",97,10,9,10,10,9,9,NA,"f","f","strict_14_with_grace_period","f","f",1,1,0,0,0.13,"Antwerp"
"125",126,4178600,"https://www.airbnb.com/rooms/4178600",21679611,"https://www.airbnb.com/users/show/21679611","Tom","9/23/2014","Antwerp, Flanders, Belgium","within an hour","100%","100%","t","https://a0.muscache.com/im/pictures/user/3323896c-4b52-4fa8-8ec8-0685147ae622.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/3323896c-4b52-4fa8-8ec8-0685147ae622.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']","t","t","Antwerp, Flanders, Belgium",NA,"Zurenborg",NA,"Antwerpen","Flanders","2018","Antwerp","Antwerp, Belgium","BE","Belgium",51.20905,4.42731,"t","House","Private room",2,1.5,1,1,"Real Bed",NA,"$60.00 ","$300.00 ","$1,200.00 ","$0.00 ","$10.00 ",1,"$10.00 ",1,14,1,1,14,14,1,14,"t",17,47,77,342,"3/21/2020",154,16,"1/10/2015","2/29/2020",93,10,9,10,10,9,9,NA,"t","f","flexible","f","f",1,0,1,0,2.43,"Antwerp"
"126",127,4265913,"https://www.airbnb.com/rooms/4265913",22144864,"https://www.airbnb.com/users/show/22144864","Greet","10/5/2014","Antwerp, Flanders, Belgium","within a day","100%","100%","f","https://a0.muscache.com/im/users/22144864/profile_pic/1412512719/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/22144864/profile_pic/1412512719/original.jpg?aki_policy=profile_x_medium","",2,2,"['email', 'phone', 'reviews']","t","f","Antwerp, Flanders, Belgium",NA,"Stuivenberg",NA,"Antwerpen","Flanders","2060","Antwerp","Antwerp, Belgium","BE","Belgium",51.21906,4.43022,"t","Townhouse","Entire home/apt",4,1.5,2,3,"Real Bed",NA,"$180.00 ","$880.00 ","","$200.00 ","$0.00 ",3,"$0.00 ",2,1125,2,2,1125,1125,2,1125,"t",0,17,40,275,"3/21/2020",20,3,"11/23/2014","3/16/2020",96,10,10,10,10,9,10,NA,"f","f","strict_14_with_grace_period","f","f",2,2,0,0,0.31,"Antwerp"
